player_id,first_name,second_name,name,position,team,price,status,news,chance_of_playing_next_round,selected_by_percent,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,influence,creativity,threat,ict_index,bps,bonus,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_gw1,goals_gw1,assists_gw1,clean_sheets_gw1,bonus_gw1,bps_gw1,total_points_gw1,started_gw1,played_gw1,availability,availability_multiplier,xmins,start_probability,rotation_risk,reliable_starter
588,Anan,Khalaili,Khalaili,DEF,Crystal Palace,5.0,a,,,0.1,1.0,1.0,1,35,0,0,0,0.0,0.16,24.0,26.5,4.0,5.5,12,0,371,632,371,632,35.0,0.0,0.0,0.0,0.0,12.0,1.0,0,1,AVAILABLE,1.0,45.0,0.5,HIGH,0
595,Zavier,Gozo,Gozo,MID,Crystal Palace,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,91,143,91,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
21,Christian,Nørgaard,Nørgaard,MID,Everton,5.0,i,Unspecified injury - Unknown return date,0.0,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,95,2495,95,2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
209,Brennan,Johnson,Johnson,MID,Everton,6.0,a,,,0.2,1.0,1.0,1,6,0,0,0,0.0,0.0,4.0,0.3,0.0,0.4,3,0,552,2037,552,2037,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
226,Jordan,Pickford,Pickford,GKP,Everton,5.5,a,,,8.8,7.0,7.0,7,90,0,0,1,0.0,0.02,31.8,0.0,0.0,3.2,34,0,54160,21844,54160,21844,90.0,0.0,0.0,1.0,0.0,34.0,7.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
227,Mark,Travers,Travers,GKP,Everton,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,236,331,236,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
228,Tom,King,King,GKP,Everton,4.5,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,216,322,216,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
229,James,Tarkowski,Tarkowski,DEF,Everton,6.0,a,,,8.8,6.0,6.0,6,90,0,0,1,0.05,0.0,15.2,0.8,4.0,2.0,25,0,36850,27097,36850,27097,90.0,0.0,0.0,1.0,0.0,25.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
230,Jarrad,Branthwaite,Branthwaite,DEF,Everton,5.5,a,,,1.8,6.0,6.0,6,90,0,0,1,0.0,0.01,18.6,0.8,6.0,2.5,27,0,16219,6842,16219,6842,90.0,0.0,0.0,1.0,0.0,27.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
231,Michael,Keane,Keane,DEF,Everton,5.0,a,,,1.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2891,19682,2891,19682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
