name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_id,points_last_3,points_last_5,points_avg_5,minutes_last_5,starts_last_5,goals_last_5,assists_last_5,bps_avg_5,influence_avg_5,creativity_avg_5,threat_avg_5,ict_index_avg_5,form_5,price
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,341,0,0,0.0,0.0,2025-05-03T16:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3,0,0,0,0,35,0,1105,0,2,1,0.0,0,-1,0,1,54,True,0,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12,0,0,0,0,36,0,1103,0,2,2,0.0,0,-2,0,2,54,False,0,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,361,0,0,0.0,0.0,2025-05-18T15:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15,0,0,0,0,37,0,1103,0,0,1,0.0,0,0,0,0,54,True,0,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,378,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17,0,0,0,0,38,0,1102,0,2,1,0.0,0,0,0,0,54,False,0,38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Gabriel Fernando de Jesus,FWD,Arsenal,3.2,0,0,1,0,0.8,2,0.0,0.0,0.0,0.15,2,0,0,0.1,0.2,2024-08-17T14:00:00Z,5,,,,,,,,False,20,0,0,0,0,1,0,199810,0,0,2,0.0,0,0,0,0,70,True,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Gabriel Fernando de Jesus,FWD,Arsenal,1.0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,,,,,,,,False,2,0,0,0,0,2,0,176166,0,2,0,0.0,0,-53975,12170,66145,69,False,0,2,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.1,0.0,6.9
Gabriel Fernando de Jesus,FWD,Arsenal,0.0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,2024-08-31T11:30:00Z,0,,,,,,,,False,5,0,0,0,0,3,0,106691,0,1,1,0.0,0,-72583,3238,75821,68,True,0,3,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.1,0.4,0.0,0.05,0.0,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,1.2,0,0,1,0,0.0,2,0.0,0.0,0.0,0.13,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,10,,,,,,,,False,18,0,0,0,0,4,0,82577,0,1,0,0.0,1,-27513,1997,29510,68,False,0,4,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.03333333333333333,0.0,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,0.2,0,0,3,0,0.0,2,0.0,0.0,0.0,0.69,47,1,0,1.0,10.0,2024-09-22T15:30:00Z,3,,,,,,,,False,13,0,0,0,0,5,0,89599,0,2,2,0.0,0,1642,7682,6040,68,False,1,5,2,1.0,1.0,0.25,15.0,0.0,0.0,0.0,0.5,0.05,0.2,0.0,0.025,0.25,6.8
Gabriel Fernando de Jesus,FWD,Arsenal,2.2,0,0,4,0,0.0,2,0.0,0.11,0.11,0.0,51,0,0,1.9,2.0,2024-09-28T14:00:00Z,1,,,,,,,,False,11,0,0,0,0,6,0,95619,0,2,4,17.0,1,2362,10600,8238,68,True,0,6,2,1.0,1.0,0.2,18.0,0.0,0.0,0.0,1.0,2.04,0.16,0.0,0.22000000000000003,0.2,6.8
